선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
강로한,롯데,0.121,21,35,33,7,4,0,0,2,10,4,0,0
강윤구,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
강태율,롯데,0.077,19,31,26,1,2,1,0,1,6,5,0,1
김민수,롯데,0.241,82,224,199,19,48,11,1,3,70,25,3,1
김원중,롯데,-,3,0,0,0,0,0,0,0,0,0,0,0
김유영,롯데,-,2,0,0,0,0,0,0,0,0,0,0,0
김재유,롯데,0.287,87,192,174,27,50,8,0,1,61,18,4,0
김주현,롯데,0.250,8,17,16,1,4,0,0,0,4,0,0,0
나균안,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
나승엽,롯데,0.204,60,128,113,16,23,2,0,2,31,10,0,1
나원탁,롯데,0.000,1,1,1,0,0,0,0,0,0,0,0,0
마차도,롯데,0.279,134,539,466,83,130,21,1,5,168,58,4,7
민병헌,롯데,0.190,14,49,42,5,8,3,0,0,11,2,1,0
배성근,롯데,0.204,78,109,93,21,19,4,0,1,26,9,2,0
손성빈,롯데,0.316,20,22,19,4,6,0,0,0,6,0,0,0
손아섭,롯데,0.319,139,610,542,88,173,29,2,3,215,58,3,1
송재영,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
신윤후,롯데,0.261,71,136,119,23,31,5,2,1,43,6,2,1
안중열,롯데,0.232,58,157,125,19,29,5,0,3,43,16,3,1
안치홍,롯데,0.306,119,490,421,58,129,30,2,10,193,82,5,9
오현택,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
이대호,롯데,0.286,114,465,420,39,120,11,0,19,188,81,0,6
이병규,롯데,0.235,29,43,34,4,8,0,0,0,8,4,0,0
이인복,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
이주찬,롯데,0.000,3,8,7,0,0,0,0,0,0,0,1,0
이호연,롯데,0.222,7,11,9,0,2,0,0,0,2,1,0,1
장두성,롯데,0.222,43,41,36,12,8,2,1,0,12,4,0,0
전준우,롯데,0.348,144,619,552,88,192,46,0,7,259,92,1,8
정보근,롯데,0.278,11,20,18,0,5,0,0,0,5,0,0,0
정훈,롯데,0.292,135,561,486,70,142,27,1,14,213,79,1,3
지시완,롯데,0.241,73,187,166,23,40,9,0,7,70,26,2,0
최민재,롯데,0.080,21,27,25,2,2,1,0,0,3,2,0,0
최종은,롯데,0.000,1,1,1,0,0,0,0,0,0,0,0,0
추재현,롯데,0.252,95,300,262,37,66,15,0,5,96,26,5,0
한동희,롯데,0.267,129,496,424,54,113,24,0,17,188,69,1,4
